类别,词,处理建议
绝对化商品宣传,最佳,核是否指向商品性能质量的绝对评价；法定例外另审；不要把保存条件提示也一律删掉〔S01第9条／S02〕
绝对化商品宣传,顶级,删除对商品等级的无依据绝对评价；商标名称等例外先核真实性及指向〔S02／S10物料规范〕
绝对化商品宣传,最安全,删除对商品安全的绝对保证；个人主观措辞不能使商品安全保证自动合法〔S01／S02〕
绝对化商品宣传,最营养,删除对商品营养价值的绝对排名；改为允许且可核实的营养信息〔S01／S02〕
绝对化商品宣传,全网第一,删除无具体范围及证据的全网排名；客观销量排序须标清统计口径及期限〔S02／S11〕
绝对安全保证,100%安全,删除绝对安全保证；检测结论只适用其项目和条件不能外推全部风险〔S01第4及28条／S02〕
绝对安全保证,百分百安全,删除商品对所有对象绝对安全的保证；不能以安心等体验词包裹保证〔S01／S02〕
绝对安全保证,百分百无毒,删除无限定的安全保证；如确需介绍检测须准确标注对象方法及结果范围〔S01／S02〕
绝对安全保证,零风险,删除面向使用安全或诊疗结果的零风险承诺；其他语境如售后政策需独立核实〔S01第16条及真实性要求〕
绝对安全保证,绝无副作用,删除药械医疗保健食品的安全性保证；普通商品也不得以此作医疗安全背书〔S01第16及18条〕
绝对安全保证,无毒副作用,删除暗示商品具有药用级绝对安全的保证；不能用检验合格代替个体安全判断〔S01第16至18条〕
绝对安全保证,所有宝宝都适合,删除覆盖所有宝宝的适用保证；按合法标签与真实适用范围表述〔S01第4及28条／S03〕
生长结果保证,保证长高,删除食品或用品保证身高结果的宣传；不得用个人见证替代证据〔S01第4及28条／S03〕
生长结果保证,一定长高,删除确定性生长承诺；营养作用也不能推成个体必然结果〔S01／S03〕
生长结果保证,促长高,婴配乳粉推广移除促身高的功能承诺；其他品类应核其法定属性及获准范围〔S01／S03／S04；语义研判〕
生长结果保证,猛涨肉,删除将短期显著增重当作奶粉效果的无依据宣传；正常生长记录不得伪造成产品因果〔S01第4及28条〕
生长结果保证,蹭蹭长肉,核是否对奶粉作夸张增重承诺；删承诺和无依据因果而非把词换成实肉〔S01第4及28条〕
生长结果保证,喝了就长肉,删除确定的产品与增重因果保证；体重变化不能仅凭前后对比归因〔S01第4及28条〕
产后医疗效果,修复腹直肌,非医疗服务不得承诺组织修复；有资质医疗项目也须按许可及广告审查内容发布〔S01第16及17条／S05〕
产后医疗效果,修复盆底肌,核服务属性及许可；普通护理不得包装成疾病或组织损伤治疗〔S01第16及17条／S05〕
产后医疗效果,治好漏尿,删除普通护理治疗承诺；医疗服务也不得保证疗效〔S01第16及17条〕
产后医疗效果,根治漏尿,删除根治承诺；不是更换成恢复状态即可继续宣传〔S01第16及17条〕
产后医疗效果,卵巢保养,非医疗美容护理若暗示影响器官功能应删除；不得把表面按摩包装成器官治疗〔S01第17条；语义研判〕
产后医疗效果,子宫排毒,删除无依据的排毒及器官医疗作用宣传；不以古法或个人体验作依据〔S01第4及17条；语义研判〕
产后医疗效果,排胎毒,删除孕婴食品或护理清除所谓胎毒的功效宣传；不得用民间经验作疗效证明〔S01第4及17条；语义研判〕
产后医疗效果,百分百恢复孕前身材,删除确定性体型恢复保证；可陈述真实服务内容而非人人适用的结果〔S01第4及28条〕
产后医疗效果,一次见效,医疗及产康疗效语境删除一次达到效果的保证；非医疗使用表现也须核真实证据〔S01第16及17条〕
虚假权威背书,小金盾认证,删除认证化表述；小金盾是儿童化妆品标志不是安全有效认证〔S07〕
虚假权威背书,国家免检,不将行政许可或检验合格写成免检背书；要求提供合法准确依据否则删除〔S01第4及9条〕
虚假权威背书,药监局推荐,商品广告不得借监管机关名义推荐背书；注册备案信息只能如实陈述〔S01第9条〕
虚假权威背书,国家指定奶粉,不得虚构国家指定或以国家机关名义推销；行政注册不等于指定推荐〔S01第4及9条〕
虚假权威背书,官方指定奶粉,必须核实指定主体和授权；涉及国家机关背书或虚构指定须删除〔S01第4及9条〕
儿童化妆品越界,食品级面霜,儿童化妆品不得宣传可作为食品或食品级；不以食品原料解释使其合法〔S07／S06〕
儿童化妆品越界,可食用面霜,删除儿童化妆品可以食用的宣传；必要防误食警示应保留〔S07〕
儿童化妆品越界,吃进去也没事,食品以外母婴用品不得作误食安全保证；删除保证并保留合法使用警示〔S01第4及28条／S07〕
儿童化妆品越界,婴儿美白,婴幼儿化妆品不得宣称美白；不能仅加温和或适量来保留越界功效〔S07〕
儿童化妆品越界,儿童祛痘,儿童化妆品不得作祛痘宣称；正规就医知识不按商品宣传处理〔S07〕
儿童化妆品越界,宝宝祛斑,儿童化妆品不得作祛斑宣称；删除越界功效而不是只换同义词〔S07〕
