词,来源,处理建议
万能,绝对化及疗效研判·S01／S02；未实测,【规则风险提示；未实测】用于解决所有育儿或身体问题时删除承诺；非商品效果语境另判
必备,必要性及焦虑研判·S01第18条／S10；未实测,【规则风险提示；未实测】保健食品不得暗示保障健康所必需；其他商品核是否制造不买就伤害孩子的焦虑
永不,绝对保证语境风险·S01／S02；未实测,【规则风险提示；未实测】核是否承诺永久安全或效果；不要把永不建议等否定劝告误当保证
永久,绝对保证语境风险·S01／S02；未实测,【规则风险提示；未实测】核是否承诺永久疗效；如实保修政策或商标名称等不直接判违规
零刺激,安全宣称待核·S08／S13；未实测,【规则风险提示；未实测】按品类及测试条件核依据；不能从一份检测推成人人零风险；温和无刺激也不是无条件安全替换
无刺激,安全宣称待核·S08／S13；未实测,【规则风险提示；未实测】化妆品须有相应功效评价依据并核适用年龄；不是一律违法也不能凭自用体验保证
零激素,标签及安全暗示·S03／S06；未实测,【规则风险提示；未实测】核该物质是否本就禁用及是否造成安全优越暗示；有检测报告也不当然允许强调禁用物未添加
零甲醛,检测及绝对化风险·S01／S02；未实测,【规则风险提示；未实测】区分未检出与绝对不存在；说明检测对象方法和限值；不得扩成全场景绝对安全
零添加,标签及宣传范围·S03第37条／S06；未实测,【规则风险提示；未实测】明确何物未添加；婴配乳粉不得以本应禁用物未添加作卖点；不能把全部添加剂污名化
无添加,标签及宣传范围·S03／S06；未实测,【规则风险提示；未实测】不能笼统声称什么都不添加；核配方与原料带入情况及该品类允许的宣称范围
纯天然,真实性及安全暗示·S01／S06；未实测,【规则风险提示；未实测】核含义和原料依据；天然不代表对婴儿或孕妇一定安全；不能替代安全评价
无毒,检测及安全暗示·S01／S02；未实测,【规则风险提示；未实测】核具体检测项目及合法用途；不等同误食无害或人人适用；必要风险警示不得删
不含防腐剂,标签及配方证据·S03／S06；未实测,【规则风险提示；未实测】核产品类别与实配信息；不得以本就禁用或不应含有的物质作为安全优越卖点
不含重金属,检测范围风险·S01／S03；未实测,【规则风险提示；未实测】核标准限量与检出限；检测合格或未检出不等于绝对不含；避免制造比较恐慌
0蔗糖,营养信息真实性·S01／S03；未实测,【规则风险提示；未实测】核配方及实际标签；不等同于无糖或没有其他糖类；不得借此保证不会蛀牙或更安全
零蔗糖,营养信息真实性·S01／S03；未实测,【规则风险提示；未实测】区分蔗糖与全部糖类；不得扩大成无糖或婴幼儿可无限量食用
进口奶源,婴配标签范围·S03第35及37条；未实测,【规则风险提示；未实测】标签不得使用此类模糊来源信息；宣传应核来源国或具体地点；不能用进口自动证明更好
原生态奶源,婴配标签范围·S03第37条；未实测,【规则风险提示；未实测】婴配标签禁模糊来源表述；广告也须真实明确；改为可核对的来源事实
无污染奶源,婴配标签范围·S03第37条；未实测,【规则风险提示；未实测】删除模糊或绝对纯净暗示；具体来源和合规检测需分别核实
增强保护力,食品功能同义研判·S03／S04；未实测,【规则风险提示；未实测】若实质宣传增强免疫或抵抗力须删除该功能承诺；保护力不是可绕规则的替换词
提高保护力,食品功能同义研判·S03／S04；未实测,【规则风险提示；未实测】核是否为免疫功能的委婉表达；普通食品不能用替换名词继续宣传保健功能
改善体质,食品保健暗示·S03／S04；未实测,【规则风险提示；未实测】若用于食品改善身体机能的承诺须删除；真实生活观察也不能无依据归因于产品
肠胃弱,食品适宜人群及功效·S01／S03；未实测,【规则风险提示；未实测】核是否借病征人群暗示奶粉有改善作用；不能替用户诊断或把普通产品说成特医食品
益生菌调理肠胃,食品功能研判·S04第38条；未实测,【规则风险提示；未实测】核产品到底是普通食品还是保健食品；普通食品不得借菌株名称宣称保健治疗效果
促消化,食品功能范围·S03／S04；未实测,【规则风险提示；未实测】核是否构成保健功能及产品获准范围；不因成分常见便默认可宣传该功能
去火,食品医疗暗示·S01／S03；未实测,【规则风险提示；未实测】核是否在产品推广中暗示防病或治疗；普通食物描述不直接用换词判定
降火,食品医疗暗示·S01／S03；未实测,【规则风险提示；未实测】不能以降火替代退热或预防疾病宣传；改为不带该作用暗示的真实信息
黄金便,食品效果暗示·S01／S03；未实测,【规则风险提示；未实测】不得将单一颜色包装成健康标准或把换奶前后颜色当疗效证据；仅做语境复核
100%吸收,营养效果保证·S01／S03；未实测,【规则风险提示；未实测】核并移除绝对吸收保证；不能把含量等同实际利用或用研究外推所有宝宝
促进大脑发育,婴配功能及营养作用·S03／S04；未实测,【规则风险提示；未实测】核产品类别及合法营养作用宣称；不能把成分作用直接推为某款奶粉益智效果
促进骨骼发育,营养作用边界·S03／S04；未实测,【规则风险提示；未实测】营养素的规范作用表述与产品保证长高不同；核适用标准标签及证据而非一刀切删词
医生推荐,专业背书风险·S01第16至19条／S05；未实测,【规则风险提示；未实测】核广告类别与真实授权；医疗药械保健食品代言受限；普通商品不得借此混淆药械或虚构背书
儿科专家力荐,专业背书风险·S01／S05；未实测,【规则风险提示；未实测】核身份资质真实授权及产品类别；不能伪造专家立场；删禁限背书而非换成朋友私下说
三甲医院推荐,机构背书风险·S01／S05；未实测,【规则风险提示；未实测】核机构授权及类别规则；医院名称出现不等于允许商品背书；不能以采购记录冒充推荐
儿科医生说,知识与营销边界·S01／S05；未实测,【规则风险提示；未实测】纯就医转述不自动违规；若接商品推荐或疗效保证须核广告限制及信息真实性
医生朋友,隐性专业背书研判·S01／S05；未实测,【规则风险提示；未实测】朋友私下科普不构成安全替换；不得借虚构关系为商品证明功效
白大褂,视觉背书语境·S01／S05／S10；未实测,【规则风险提示；未实测】文字仅能提示风险；需人工看画面是否医疗角色为产品背书；不能断言所有白大褂画面必卡
国家认证,行政许可与背书混淆·S01；未实测,【规则风险提示；未实测】核具体认证名称与主体；注册备案检验合格不等于国家推荐；真实合规认证不一律禁用
国际公认,权威引证真实性·S01第11条；未实测,【规则风险提示；未实测】要求明确主体出处时间和适用范围；拿不出依据就删除泛化权威结论
中科院研发,研发归属与授权·S01第4及11条；未实测,【规则风险提示；未实测】核真实合作主体研发范围及授权；不得由某原料合作扩大成整款产品获权威背书
宝妈圈公认,群体共识真实性·S01第4及28条；未实测,【规则风险提示；未实测】核是否编造普遍认同；不能把少量评论改写成所有宝妈结论
很多宝妈反馈,用户证言真实性·S01第4及28条；未实测,【规则风险提示；未实测】需有真实反馈来源且不得放大；不是医生背书的通用安全替换
临床验证,研究证据范围·S01第11条／S08；未实测,【规则风险提示；未实测】核真实研究对象样本设计及结论；原料或成人研究不能直接证明婴儿使用效果
专利配方,专利宣称核验·S01第12条；未实测,【规则风险提示；未实测】核专利号种类有效状态及是否涉及该产品；专利不等于临床有效或安全认证
国家专利,专利宣称核验·S01第12条；未实测,【规则风险提示；未实测】核授权状态及专利号种类；申请中或失效专利不得说成有效授权；不扩成国家效果背书
销量第一,排名引证风险·S02／S11；未实测,【规则风险提示；未实测】核统计口径时间地域品类和来源；真实限定事实不等于永远领先；缺少限定就不能保留结论
全网最低价,价格比较真实性·S01／S02；未实测,【规则风险提示；未实测】核比较范围期限规格和优惠条件；无从覆盖全网就删除该承诺
赢在起跑线,焦虑营销语义研判·S10；未实测,【规则风险提示；未实测】如借育儿落后恐惧推动购买应删除；保留客观适用条件而非给家长施压
再不补就晚了,焦虑营销语义研判·S10；未实测,【规则风险提示；未实测】删除恐惧催购；补充与否不能凭广告替代个体评估
错过就落后,焦虑营销语义研判·S10；未实测,【规则风险提示；未实测】删除将购买窗口与孩子落后绑定的暗示；不可换成抓紧黄金期继续施压
别害了宝宝,焦虑营销语义研判·S10；未实测,【规则风险提示；未实测】若以恐吓推动购买应删除；真实安全提醒需有依据并不得绑定某商品
不买就耽误,焦虑营销语义研判·S10；未实测,【规则风险提示；未实测】删除不购买即损害成长的暗示；不得将广告变成对家长的道德评判
妈妈必须买,母职绑架语义研判·S10；未实测,【规则风险提示；未实测】删除用妈妈身份强迫消费的话术；按实际需要与适用范围表达
宝宝必须,必要性语境研判·S01第18条／S10；未实测,【规则风险提示；未实测】核后文是否商品强制必要性；必要的使用安全提示不能因命中而删除
一定要买,强制消费语境研判·S10；未实测,【规则风险提示；未实测】判断是否焦虑恐吓或虚假必要性；不是所有购买建议都自动违法
智商税,竞品贬低语境·S01第13条／S10；未实测,【规则风险提示；未实测】商业稿针对竞品作侮辱或无依据贬低时删除；真实独立评价另核事实和语境
吊打,竞品及绝对化语境·S01／S10；未实测,【规则风险提示；未实测】若用于品牌间无依据优劣结论应删除；不改成碾压继续贬低
碾压,竞品比较语境·S01第13条／S10；未实测,【规则风险提示；未实测】核比较维度数据和措辞；删除贬低竞品的笼统结论
毒奶粉,竞品及恐吓风险·S01第13条／S10；未实测,【规则风险提示；未实测】不可用未经核实的安全指控做营销；合法事件报道也须准确来源并区分批次
医用级,商品属性混淆·S01第17条／S06；未实测,【规则风险提示；未实测】核是否真为合规医疗器械及注册用途；普通化妆品纸尿裤不能借此暗示医疗等级
医药级,商品属性混淆·S01第17条／S06；未实测,【规则风险提示；未实测】核有无明确适用标准和真实属性；不得凭原料标准把成品包装成药械
药妆,化妆品医疗暗示·S01第17条／S06；未实测,【规则风险提示；未实测】普通化妆品不得借药妆暗示医疗作用；说明真实注册备案类别而非创造医疗类别
械字号,器械属性核验·S01第11及17条／S05；未实测,【规则风险提示；未实测】核有效注册备案信息及用途；不是可随意外推治疗效果或所有人适用的认证
消字号,消毒用品属性核验·S09；未实测,【规则风险提示；未实测】核实际产品类别及卫生安全评价等要求；消毒产品不能作为药品宣称治湿疹等疾病
抗菌,消毒或日用品宣称核验·S09／S01；未实测,【规则风险提示；未实测】看作用对象标准方法及报告范围；合法抗菌用途不一律禁止但不能推成治疗或预防宝宝患病
抑菌,消毒或日用品宣称核验·S09／S01；未实测,【规则风险提示；未实测】核对象条件及产品合法用途；不把体外测试结果等同人体预防治疗
杀菌,消毒用途核验·S09／S01；未实测,【规则风险提示；未实测】合规消毒商品可按规定说明；普通食品化妆品不得混淆类别；不要一刀切删所有杀菌描述
灭菌,工艺及产品属性核验·S09／S01；未实测,【规则风险提示；未实测】区分制造工艺与成品持续灭菌保证；须核标准方法及真实适用范围
无菌,检测及持续状态风险·S09／S01；未实测,【规则风险提示；未实测】区分合规无菌器械包装与普通用品绝对承诺；不得由出厂检测推导开封后永远无菌
止痒,化妆品医疗暗示·S06／S09；未实测,【规则风险提示；未实测】普通化妆品或消毒用品核并删除医疗作用暗示；药械依其合法范围另审
祛痱,儿童化妆品功效边界·S07／S08；未实测,【规则风险提示；未实测】核是否超出适龄化妆品功效及证据；不能将治疗痱疹直接换成爽身保留疗效暗示
舒缓,化妆品功效证据·S08；未实测,【规则风险提示；未实测】非通用安全替换；核产品类别适用年龄及功效评价；不能替代食品或非医疗服务的治疗承诺
改善泛红,化妆品功效边界·S07／S08；未实测,【规则风险提示；未实测】需核实际功效和适龄证据；不能把治疗湿疹机械换成泛红后继续宣传疗效
减少红屁屁,儿童护理功效研判·S01／S07／S08；未实测,【规则风险提示；未实测】核是纸尿裤使用表现还是皮炎预防承诺；不能将此句当治疗红屁屁的默认安全替换
肌肤维稳,化妆品模糊功效·S06／S08；未实测,【规则风险提示；未实测】说明实际含义并核依据；不能用模糊词掩盖未经允许的修复或医疗宣称
修护,儿童化妆品年龄范围·S07／S08；未实测,【规则风险提示；未实测】特别核0至3周岁与较大儿童允许功效的区别；成人化妆品可用不代表婴儿可照搬
修复屏障,儿童化妆品年龄及证据·S07／S08；未实测,【规则风险提示；未实测】核年龄对应的功效范围及评价；不得将婴幼儿一般护肤包装成组织损伤治疗
敏感肌适用,特定适用人群证据·S08／S14；未实测,【规则风险提示；未实测】需有相应人体评价或消费者测试依据并核年龄；不能拿成分温和代替成品适用证据
无泪配方,特定化妆品宣称证据·S08／S14；未实测,【规则风险提示；未实测】核规定的评价依据及真实使用条件；不能由个人不刺眼的体验推成所有儿童适用
食品级,品类差异核验·S07／S01；未实测,【规则风险提示；未实测】儿童化妆品不得作食品级宣称；食品接触材料须核标准并与成品可食用区别
可食用,品类差异核验·S07／S01；未实测,【规则风险提示；未实测】化妆品不能宣传可食用；餐具材料适合接触食品不等于可以吃进体内
婴儿可用,适用年龄与安全证据·S07／S08；未实测,【规则风险提示；未实测】核实际适用月龄注册备案及说明；不可仅凭成人体验推广给婴儿
孕妇可用,适用人群真实性·S01／S08；未实测,【规则风险提示；未实测】核配方安全评价及说明依据；不是有一张通用孕妇认证就能担保；不写人人绝对安全
哺乳期可用,适用人群真实性·S01／S08；未实测,【规则风险提示；未实测】核商品属性说明及安全依据；药械不能用普通护肤口径替代专业判断
新生儿可用,适用年龄真实性·S01／S07／S08；未实测,【规则风险提示；未实测】核真实适用年龄与产品类别；儿童用品标签不等于出生即可使用
防辐射,商品功能证据·S01第4及11条；未实测,【规则风险提示；未实测】核具体辐射类型测试范围及成品证据；不能由材料测试推成孕妇胎儿健康保证
排毒,食品及产康医疗暗示·S01／S04；未实测,【规则风险提示；未实测】核所谓毒素和产品类别；普通食品或护理不得宣传排毒治疗；不以天然古法作为证据
活血,非医疗商品功能边界·S01第17条；未实测,【规则风险提示；未实测】核是否借药理作用推销普通产品或护理；依法允许的药械广告另按审批内容核验
催乳,产后服务及食品功效·S01／S04／S05；未实测,【规则风险提示；未实测】区分服务介绍与疾病治疗承诺；普通食品不得保证奶量增加；涉及诊疗须核资质
通乳,产后服务及医疗边界·S01／S05；未实测,【规则风险提示；未实测】核是否承诺处理乳腺疾病及服务资质；不能仅改成养护保留治疗内容
乳腺疏通,产后服务医疗边界·S01／S05；未实测,【规则风险提示；未实测】核实际操作及医疗性质；普通护理不得保证疏通或治疗乳腺问题
月子病,医疗及恐惧营销·S01／S10；未实测,【规则风险提示；未实测】不得用模糊疾病标签制造必须购买的焦虑；真实症状应与商品承诺分开
产后修复,服务属性及功效核验·S01／S05；未实测,【规则风险提示；未实测】核具体服务项目人员资质和效果宣称；这个总称不是天然违规也不是医疗许可
腹直肌,医疗项目语境·S01／S05；未实测,【规则风险提示；未实测】解剖科普不自动违规；若连接修复承诺或推销治疗须核医疗资质与广告范围
盆底肌,医疗项目语境·S01／S05；未实测,【规则风险提示；未实测】区分训练科普和诊疗服务推广；不能承诺包治漏尿或永久恢复
恢复孕前身材,效果真实性·S01／S10；未实测,【规则风险提示；未实测】核是否夸大前后对比及保证恢复；客观记录也不得冒充人人可复制的商业结果
收胯,产康效果及证据·S01第4及17条；未实测,【规则风险提示；未实测】明确所谓改变的对象及依据；非医疗护理不得暗示骨骼或器官治疗效果
私信领资料,广告识别及健康科普边界·S05第8及9条；未实测,【规则风险提示；未实测】核是否借健康科普引流推销受限品类；私信动作本身不自动违法且不能藏商业关系
加微信,广告及交易引导语境·S05／S10；未实测,【规则风险提示；未实测】核商业引流和所在入口规则；不是法律上的一概禁词；不得用谐音绕规则或公开收集儿童隐私
不是广告,广告可识别性·S01第14条／S05第9条；未实测,【规则风险提示；未实测】有商业合作或推销实质时不能用此句否认广告属性；真实非商业分享另行判断
纯分享,广告可识别性·S05第9条；未实测,【规则风险提示；未实测】按实际合作关系和购买引导判断；不是写纯分享就免标识或免准入
宝宝亲测推荐,未成年代言及真实性·S01第38条／S10；未实测,【规则风险提示；未实测】核是否利用不满10周岁儿童作商业推荐证明；儿童自然出现与代言不是同一概念
宝宝代言,未成年代言边界·S01第38条／S10；未实测,【规则风险提示；未实测】不得利用不满10周岁未成年人作广告代言；不能以家长授权代替年龄限制
